# Time	Frame number	X (raw)	Y (raw)
# s		m	m
0.000000000000000000e+00	0.000000000000000000e+00	7.050158977508544922e-01	3.563685178756713867e+00
3.999999910593032837e-02	1.000000000000000000e+00	7.022741436958312988e-01	3.901720285415649414e+00
7.999999821186065674e-02	2.000000000000000000e+00	6.971608400344848633e-01	4.241139411926269531e+00
1.199999973177909851e-01	3.000000000000000000e+00	7.086549401283264160e-01	4.494348526000976562e+00
1.599999964237213135e-01	4.000000000000000000e+00	7.091459035873413086e-01	4.808642387390136719e+00
2.000000029802322388e-01	5.000000000000000000e+00	6.957014799118041992e-01	5.196729660034179688e+00
2.399999946355819702e-01	6.000000000000000000e+00	6.987640857696533203e-01	5.500824928283691406e+00
2.800000011920928955e-01	7.000000000000000000e+00	6.993015408515930176e-01	5.806732654571533203e+00
3.199999928474426270e-01	8.000000000000000000e+00	6.998628973960876465e-01	6.126202106475830078e+00
3.600000143051147461e-01	9.000000000000000000e+00	6.976696848869323730e-01	6.447299003601074219e+00
4.000000059604644775e-01	1.000000000000000000e+01	6.959525942802429199e-01	6.746230602264404297e+00
4.399999976158142090e-01	1.100000000000000000e+01	6.955126523971557617e-01	7.070580482482910156e+00
4.799999892711639404e-01	1.200000000000000000e+01	6.993852257728576660e-01	7.331226825714111328e+00
5.199999809265136719e-01	1.300000000000000000e+01	7.005008459091186523e-01	7.633619785308837891e+00
5.600000023841857910e-01	1.400000000000000000e+01	6.935990452766418457e-01	7.994443893432617188e+00
6.000000238418579102e-01	1.500000000000000000e+01	6.905884742736816406e-01	8.313835144042968750e+00
6.399999856948852539e-01	1.600000000000000000e+01	6.888991594314575195e-01	8.634800910949707031e+00
6.800000071525573730e-01	1.700000000000000000e+01	6.898123621940612793e-01	8.933257102966308594e+00
7.200000286102294922e-01	1.800000000000000000e+01	6.885035037994384766e-01	9.245485305786132812e+00
7.599999904632568359e-01	1.900000000000000000e+01	6.886643171310424805e-01	9.556791305541992188e+00
8.000000119209289551e-01	2.000000000000000000e+01	6.911205053329467773e-01	9.844631195068359375e+00
8.399999737739562988e-01	2.100000000000000000e+01	6.910054683685302734e-01	1.013158702850341797e+01
8.799999952316284180e-01	2.200000000000000000e+01	6.877078413963317871e-01	1.045464611053466797e+01
9.200000166893005371e-01	2.300000000000000000e+01	6.837192773818969727e-01	1.075963973999023438e+01
9.599999785423278809e-01	2.400000000000000000e+01	6.784994602203369141e-01	1.108425998687744141e+01
1.000000000000000000e+00	2.500000000000000000e+01	6.708518862724304199e-01	1.144003391265869141e+01
1.039999961853027344e+00	2.600000000000000000e+01	6.726703047752380371e-01	1.175870227813720703e+01
1.080000042915344238e+00	2.700000000000000000e+01	6.779706478118896484e-01	1.197833728790283203e+01
1.120000004768371582e+00	2.800000000000000000e+01	6.740739345550537109e-01	1.232927989959716797e+01
1.159999966621398926e+00	2.900000000000000000e+01	6.710626482963562012e-01	1.260048294067382812e+01
1.200000047683715820e+00	3.000000000000000000e+01	6.608595848083496094e-01	1.290471553802490234e+01
1.240000009536743164e+00	3.100000000000000000e+01	6.555654406547546387e-01	1.325394916534423828e+01
1.279999971389770508e+00	3.200000000000000000e+01	6.483941674232482910e-01	1.358693122863769531e+01
1.320000052452087402e+00	3.300000000000000000e+01	6.310510039329528809e-01	1.389206600189208984e+01
1.360000014305114746e+00	3.400000000000000000e+01	6.419355869293212891e-01	1.410526847839355469e+01
1.399999976158142090e+00	3.500000000000000000e+01	6.355355978012084961e-01	1.435712432861328125e+01
1.440000057220458984e+00	3.600000000000000000e+01	6.224980354309082031e-01	1.458432197570800781e+01
1.480000019073486328e+00	3.700000000000000000e+01	6.206071972846984863e-01	1.489549732208251953e+01
1.519999980926513672e+00	3.800000000000000000e+01	6.082317829132080078e-01	1.522245883941650391e+01
1.559999942779541016e+00	3.900000000000000000e+01	6.066948175430297852e-01	1.544183540344238281e+01
1.600000023841857910e+00	4.000000000000000000e+01	5.859755873680114746e-01	1.576233482360839844e+01
1.639999985694885254e+00	4.100000000000000000e+01	5.744794607162475586e-01	1.598843097686767578e+01
1.679999947547912598e+00	4.200000000000000000e+01	5.549077987670898438e-01	1.641025352478027344e+01
1.720000028610229492e+00	4.300000000000000000e+01	5.457083582878112793e-01	1.661771011352539062e+01
1.759999990463256836e+00	4.400000000000000000e+01	5.423269867897033691e-01	1.682028198242187500e+01
1.799999952316284180e+00	4.500000000000000000e+01	5.338074564933776855e-01	1.708121871948242188e+01
1.840000033378601074e+00	4.600000000000000000e+01	5.195400118827819824e-01	1.729306983947753906e+01
1.879999995231628418e+00	4.700000000000000000e+01	5.094279050827026367e-01	1.757700347900390625e+01
1.919999957084655762e+00	4.800000000000000000e+01	4.906212985515594482e-01	1.790097999572753906e+01
1.960000038146972656e+00	4.900000000000000000e+01	4.816149771213531494e-01	1.811978340148925781e+01
