# Time	Frame number	X (raw)	Y (raw)
# s		m	m
0.000000000000000000e+00	0.000000000000000000e+00	7.547303438186645508e-01	3.462341547012329102e+00
3.999999910593032837e-02	1.000000000000000000e+00	7.593791484832763672e-01	3.760838747024536133e+00
7.999999821186065674e-02	2.000000000000000000e+00	7.589356303215026855e-01	4.097206592559814453e+00
1.199999973177909851e-01	3.000000000000000000e+00	7.638261914253234863e-01	4.388908863067626953e+00
1.599999964237213135e-01	4.000000000000000000e+00	7.687158584594726562e-01	4.712450981140136719e+00
2.000000029802322388e-01	5.000000000000000000e+00	7.671507596969604492e-01	5.049769401550292969e+00
2.399999946355819702e-01	6.000000000000000000e+00	7.627523541450500488e-01	5.403617858886718750e+00
2.800000011920928955e-01	7.000000000000000000e+00	7.597923874855041504e-01	5.755784034729003906e+00
3.199999928474426270e-01	8.000000000000000000e+00	7.649565339088439941e-01	6.040337562561035156e+00
3.600000143051147461e-01	9.000000000000000000e+00	7.687318921089172363e-01	6.347238063812255859e+00
4.000000059604644775e-01	1.000000000000000000e+01	7.712985277175903320e-01	6.654662132263183594e+00
4.399999976158142090e-01	1.100000000000000000e+01	7.702144980430603027e-01	6.967237949371337891e+00
4.799999892711639404e-01	1.200000000000000000e+01	7.713596224784851074e-01	7.300369262695312500e+00
5.199999809265136719e-01	1.300000000000000000e+01	7.691312432289123535e-01	7.610999107360839844e+00
5.600000023841857910e-01	1.400000000000000000e+01	7.720485925674438477e-01	7.920228004455566406e+00
6.000000238418579102e-01	1.500000000000000000e+01	7.698901295661926270e-01	8.241278648376464844e+00
6.399999856948852539e-01	1.600000000000000000e+01	7.736844420433044434e-01	8.541302680969238281e+00
6.800000071525573730e-01	1.700000000000000000e+01	7.684376835823059082e-01	8.911849975585937500e+00
7.200000286102294922e-01	1.800000000000000000e+01	7.691615223884582520e-01	9.202391624450683594e+00
7.599999904632568359e-01	1.900000000000000000e+01	7.705671191215515137e-01	9.528462409973144531e+00
8.000000119209289551e-01	2.000000000000000000e+01	7.715885639190673828e-01	9.813766479492187500e+00
8.399999737739562988e-01	2.100000000000000000e+01	7.714846730232238770e-01	1.013495540618896484e+01
8.799999952316284180e-01	2.200000000000000000e+01	7.716201543807983398e-01	1.043949317932128906e+01
9.200000166893005371e-01	2.300000000000000000e+01	7.720881104469299316e-01	1.071555519104003906e+01
9.599999785423278809e-01	2.400000000000000000e+01	7.717137336730957031e-01	1.104425144195556641e+01
1.000000000000000000e+00	2.500000000000000000e+01	7.690001726150512695e-01	1.136799430847167969e+01
1.039999961853027344e+00	2.600000000000000000e+01	7.612913846969604492e-01	1.174893188476562500e+01
1.080000042915344238e+00	2.700000000000000000e+01	7.601636052131652832e-01	1.199806594848632812e+01
1.120000004768371582e+00	2.800000000000000000e+01	7.606308460235595703e-01	1.232036018371582031e+01
1.159999966621398926e+00	2.900000000000000000e+01	7.614526748657226562e-01	1.256424427032470703e+01
1.200000047683715820e+00	3.000000000000000000e+01	7.563881278038024902e-01	1.287270832061767578e+01
1.240000009536743164e+00	3.100000000000000000e+01	7.546940445899963379e-01	1.315484905242919922e+01
1.279999971389770508e+00	3.200000000000000000e+01	7.385962605476379395e-01	1.349919891357421875e+01
1.320000052452087402e+00	3.300000000000000000e+01	7.340189218521118164e-01	1.382503128051757812e+01
1.360000014305114746e+00	3.400000000000000000e+01	7.465457320213317871e-01	1.398052310943603516e+01
1.399999976158142090e+00	3.500000000000000000e+01	7.292163968086242676e-01	1.435707473754882812e+01
1.440000057220458984e+00	3.600000000000000000e+01	7.173736691474914551e-01	1.468192481994628906e+01
1.480000019073486328e+00	3.700000000000000000e+01	7.221251130104064941e-01	1.488572502136230469e+01
1.519999980926513672e+00	3.800000000000000000e+01	7.101289033889770508e-01	1.517098999023437500e+01
1.559999942779541016e+00	3.900000000000000000e+01	7.073116898536682129e-01	1.546682834625244141e+01
1.600000023841857910e+00	4.000000000000000000e+01	7.015635371208190918e-01	1.569231700897216797e+01
1.639999985694885254e+00	4.100000000000000000e+01	6.933219432830810547e-01	1.594861412048339844e+01
1.679999947547912598e+00	4.200000000000000000e+01	6.817840337753295898e-01	1.624535751342773438e+01
1.720000028610229492e+00	4.300000000000000000e+01	6.795746684074401855e-01	1.649861335754394531e+01
1.759999990463256836e+00	4.400000000000000000e+01	6.717721819877624512e-01	1.670305061340332031e+01
1.799999952316284180e+00	4.500000000000000000e+01	6.530046463012695312e-01	1.703452301025390625e+01
1.840000033378601074e+00	4.600000000000000000e+01	6.458154320716857910e-01	1.723641967773437500e+01
1.879999995231628418e+00	4.700000000000000000e+01	6.177237033843994141e-01	1.761961746215820312e+01
1.919999957084655762e+00	4.800000000000000000e+01	6.070687770843505859e-01	1.792810440063476562e+01
1.960000038146972656e+00	4.900000000000000000e+01	6.052452325820922852e-01	1.807480812072753906e+01
