# Time	Frame number	X (raw)	Y (raw)
# s		m	m
0.000000000000000000e+00	0.000000000000000000e+00	7.452326416969299316e-01	3.766960859298706055e+00
3.999999910593032837e-02	1.000000000000000000e+00	7.477092146873474121e-01	4.092672824859619141e+00
7.999999821186065674e-02	2.000000000000000000e+00	7.519728541374206543e-01	4.410338401794433594e+00
1.199999973177909851e-01	3.000000000000000000e+00	7.550184130668640137e-01	4.752883434295654297e+00
1.599999964237213135e-01	4.000000000000000000e+00	7.501432299613952637e-01	5.110686779022216797e+00
2.000000029802322388e-01	5.000000000000000000e+00	7.601279616355895996e-01	5.392442226409912109e+00
2.399999946355819702e-01	6.000000000000000000e+00	7.597923874855041504e-01	5.755784034729003906e+00
2.800000011920928955e-01	7.000000000000000000e+00	7.648270130157470703e-01	6.051374435424804688e+00
3.199999928474426270e-01	8.000000000000000000e+00	7.670024037361145020e-01	6.369685649871826172e+00
3.600000143051147461e-01	9.000000000000000000e+00	7.724103331565856934e-01	6.691267490386962891e+00
4.000000059604644775e-01	1.000000000000000000e+01	7.771605849266052246e-01	6.963706493377685547e+00
4.399999976158142090e-01	1.100000000000000000e+01	7.790413498878479004e-01	7.316457748413085938e+00
4.799999892711639404e-01	1.200000000000000000e+01	7.805364727973937988e-01	7.651198863983154297e+00
5.199999809265136719e-01	1.300000000000000000e+01	7.859998941421508789e-01	7.930952548980712891e+00
5.600000023841857910e-01	1.400000000000000000e+01	7.816076874732971191e-01	8.299160957336425781e+00
6.000000238418579102e-01	1.500000000000000000e+01	7.928621768951416016e-01	8.571540832519531250e+00
6.399999856948852539e-01	1.600000000000000000e+01	7.895518541336059570e-01	8.916026115417480469e+00
6.800000071525573730e-01	1.700000000000000000e+01	7.980903983116149902e-01	9.205320358276367188e+00
7.200000286102294922e-01	1.800000000000000000e+01	7.940722703933715820e-01	9.550227165222167969e+00
7.599999904632568359e-01	1.900000000000000000e+01	7.938021421432495117e-01	9.875019073486328125e+00
8.000000119209289551e-01	2.000000000000000000e+01	7.955063581466674805e-01	1.019416904449462891e+01
8.399999737739562988e-01	2.100000000000000000e+01	8.017948269844055176e-01	1.048382472991943359e+01
8.799999952316284180e-01	2.200000000000000000e+01	8.044722676277160645e-01	1.078104114532470703e+01
9.200000166893005371e-01	2.300000000000000000e+01	8.128946423530578613e-01	1.103487110137939453e+01
9.599999785423278809e-01	2.400000000000000000e+01	8.121771216392517090e-01	1.138423728942871094e+01
1.000000000000000000e+00	2.500000000000000000e+01	8.145998716354370117e-01	1.163582992553710938e+01
1.039999961853027344e+00	2.600000000000000000e+01	8.066024184226989746e-01	1.203741073608398438e+01
1.080000042915344238e+00	2.700000000000000000e+01	8.043588995933532715e-01	1.239487171173095703e+01
1.120000004768371582e+00	2.800000000000000000e+01	8.054153919219970703e-01	1.264308547973632812e+01
1.159999966621398926e+00	2.900000000000000000e+01	8.008431792259216309e-01	1.295503425598144531e+01
1.200000047683715820e+00	3.000000000000000000e+01	8.111720085144042969e-01	1.321253490447998047e+01
1.240000009536743164e+00	3.100000000000000000e+01	7.776177525520324707e-01	1.379874801635742188e+01
1.279999971389770508e+00	3.200000000000000000e+01	7.883652448654174805e-01	1.392671012878417969e+01
1.320000052452087402e+00	3.300000000000000000e+01	8.024926781654357910e-01	1.407056236267089844e+01
1.360000014305114746e+00	3.400000000000000000e+01	7.963752150535583496e-01	1.438840389251708984e+01
1.399999976158142090e+00	3.500000000000000000e+01	7.851352691650390625e-01	1.476997756958007812e+01
1.440000057220458984e+00	3.600000000000000000e+01	7.892394065856933594e-01	1.498898506164550781e+01
1.480000019073486328e+00	3.700000000000000000e+01	7.709348201751708984e-01	1.541114330291748047e+01
1.519999980926513672e+00	3.800000000000000000e+01	7.537275552749633789e-01	1.577247810363769531e+01
1.559999942779541016e+00	3.900000000000000000e+01	7.560508251190185547e-01	1.602990150451660156e+01
1.600000023841857910e+00	4.000000000000000000e+01	7.575441002845764160e-01	1.624443054199218750e+01
1.639999985694885254e+00	4.100000000000000000e+01	7.490558624267578125e-01	1.652031898498535156e+01
1.679999947547912598e+00	4.200000000000000000e+01	7.614061236381530762e-01	1.661497497558593750e+01
1.720000028610229492e+00	4.300000000000000000e+01	7.474725842475891113e-01	1.690155982971191406e+01
1.759999990463256836e+00	4.400000000000000000e+01	7.293407320976257324e-01	1.724104881286621094e+01
1.799999952316284180e+00	4.500000000000000000e+01	7.270147800445556641e-01	1.752137565612792969e+01
1.840000033378601074e+00	4.600000000000000000e+01	7.152057886123657227e-01	1.772791671752929688e+01
1.879999995231628418e+00	4.700000000000000000e+01	7.095442414283752441e-01	1.799156570434570312e+01
1.919999957084655762e+00	4.800000000000000000e+01	7.078409194946289062e-01	1.821063995361328125e+01
