# Time	Frame number	X (raw)	Y (raw)
# s		m	m
0.000000000000000000e+00	0.000000000000000000e+00	6.884614825248718262e-01	3.665354013442993164e+00
3.999999910593032837e-02	1.000000000000000000e+00	6.788482666015625000e-01	4.015058994293212891e+00
7.999999821186065674e-02	2.000000000000000000e+00	6.773899197578430176e-01	4.336682319641113281e+00
1.199999973177909851e-01	3.000000000000000000e+00	6.836134195327758789e-01	4.614487648010253906e+00
1.599999964237213135e-01	4.000000000000000000e+00	6.743985414505004883e-01	4.988615036010742188e+00
2.000000029802322388e-01	5.000000000000000000e+00	6.744320392608642578e-01	5.307815551757812500e+00
2.399999946355819702e-01	6.000000000000000000e+00	6.724588871002197266e-01	5.636298656463623047e+00
2.800000011920928955e-01	7.000000000000000000e+00	6.756865382194519043e-01	5.927771091461181641e+00
3.199999928474426270e-01	8.000000000000000000e+00	6.688285470008850098e-01	6.267423152923583984e+00
3.600000143051147461e-01	9.000000000000000000e+00	6.667804718017578125e-01	6.589442253112792969e+00
4.000000059604644775e-01	1.000000000000000000e+01	6.633305549621582031e-01	6.912716865539550781e+00
4.399999976158142090e-01	1.100000000000000000e+01	6.659773588180541992e-01	7.206966400146484375e+00
4.799999892711639404e-01	1.200000000000000000e+01	6.582671403884887695e-01	7.562612056732177734e+00
5.199999809265136719e-01	1.300000000000000000e+01	6.607038974761962891e-01	7.846936702728271484e+00
5.600000023841857910e-01	1.400000000000000000e+01	6.606321334838867188e-01	8.147676467895507812e+00
6.000000238418579102e-01	1.500000000000000000e+01	6.608013510704040527e-01	8.444588661193847656e+00
6.399999856948852539e-01	1.600000000000000000e+01	6.553385853767395020e-01	8.781399726867675781e+00
6.800000071525573730e-01	1.700000000000000000e+01	6.400924921035766602e-01	9.177409172058105469e+00
7.200000286102294922e-01	1.800000000000000000e+01	6.442824006080627441e-01	9.463078498840332031e+00
7.599999904632568359e-01	1.900000000000000000e+01	6.424109339714050293e-01	9.746874809265136719e+00
8.000000119209289551e-01	2.000000000000000000e+01	6.412563323974609375e-01	1.004908943176269531e+01
8.399999737739562988e-01	2.100000000000000000e+01	6.383951902389526367e-01	1.040768623352050781e+01
8.799999952316284180e-01	2.200000000000000000e+01	6.345715522766113281e-01	1.071188449859619141e+01
9.200000166893005371e-01	2.300000000000000000e+01	6.331205964088439941e-01	1.102195453643798828e+01
9.599999785423278809e-01	2.400000000000000000e+01	6.298133730888366699e-01	1.133112907409667969e+01
1.000000000000000000e+00	2.500000000000000000e+01	6.212388277053833008e-01	1.165898323059082031e+01
1.039999961853027344e+00	2.600000000000000000e+01	6.177154779434204102e-01	1.195031833648681641e+01
1.080000042915344238e+00	2.700000000000000000e+01	6.136375069618225098e-01	1.225426673889160156e+01
1.120000004768371582e+00	2.800000000000000000e+01	6.163613200187683105e-01	1.254373359680175781e+01
1.159999966621398926e+00	2.900000000000000000e+01	6.097677350044250488e-01	1.284680271148681641e+01
1.200000047683715820e+00	3.000000000000000000e+01	6.001368761062622070e-01	1.318549251556396484e+01
1.240000009536743164e+00	3.100000000000000000e+01	5.974366664886474609e-01	1.346625709533691406e+01
1.279999971389770508e+00	3.200000000000000000e+01	5.927111506462097168e-01	1.377320003509521484e+01
1.320000052452087402e+00	3.300000000000000000e+01	5.765576958656311035e-01	1.410821819305419922e+01
1.360000014305114746e+00	3.400000000000000000e+01	5.650085806846618652e-01	1.440362453460693359e+01
1.399999976158142090e+00	3.500000000000000000e+01	5.636104345321655273e-01	1.465067386627197266e+01
1.440000057220458984e+00	3.600000000000000000e+01	5.597475171089172363e-01	1.492744064331054688e+01
1.480000019073486328e+00	3.700000000000000000e+01	5.316844582557678223e-01	1.530615901947021484e+01
1.519999980926513672e+00	3.800000000000000000e+01	5.496293306350708008e-01	1.537244796752929688e+01
1.559999942779541016e+00	3.900000000000000000e+01	5.242038369178771973e-01	1.578275012969970703e+01
1.600000023841857910e+00	4.000000000000000000e+01	5.011760592460632324e-01	1.622598648071289062e+01
1.639999985694885254e+00	4.100000000000000000e+01	4.864167869091033936e-01	1.648409080505371094e+01
1.679999947547912598e+00	4.200000000000000000e+01	4.836380779743194580e-01	1.667362403869628906e+01
1.720000028610229492e+00	4.300000000000000000e+01	4.643725752830505371e-01	1.698369216918945312e+01
1.759999990463256836e+00	4.400000000000000000e+01	4.678283035755157471e-01	1.711283111572265625e+01
1.799999952316284180e+00	4.500000000000000000e+01	4.544740319252014160e-01	1.730952072143554688e+01
1.840000033378601074e+00	4.600000000000000000e+01	4.258397519588470459e-01	1.766890716552734375e+01
1.879999995231628418e+00	4.700000000000000000e+01	4.123890101909637451e-01	1.792638206481933594e+01
1.919999957084655762e+00	4.800000000000000000e+01	4.029194712638854980e-01	1.808523559570312500e+01
